Chapter III,,Kapitel III,Chapitre III,Глава III,第三章,第III章,Capítulo III,III 장,Bölüm III,Розділ III,Capítulo III,Kapitola III,Rozdział III
Chapter IV,,Kapitel IV,Chapitre IV,Глава IV,第四章,第IV章,Capítulo IV,IV 장,Bölüm IV,Розділ IV,Capítulo IV,Kapitola IV,Rozdział IV
Chapter V,,Kapitel V,Chapitre V,Глава V,第五章,第V章,Capítulo V,V 장,Bölüm V,Розділ V,Capítulo V,Kapitola V,Rozdział V
Clara Soria,,Clara Soria,Clara Soria,Клара Сориа,克拉拉·索里亚,クララ・ソリア,Clara Soria,클라라 소리아,Clara Soria,Клара Сорія,Clara Soria,Clara Soria,Klara Soria
Clearing Marbles,,Murmeln werden geräumt,Effacer les billes,Удаление шариков,清除弹珠,ビー玉を削除,Removiendo Canicas,구슬 제거하기,Misketleri Temizleme,Видалення кульок,Eliminando Pedras,Čištění kuliček,Usuwanie Kulek
Click the *browse* button to browse available puzzles on Steam Workshop.,,"Klicke auf *Durchsuchen*, um verfügbare Rätsel im Steam Workshop zu finden.",Cliquez sur le bouton *parcourir* pour jeter un œil aux énigmes disponibles sur le Steam Workshop.,Нажмите кнопку *Обзор* для просмотра доступных головоломок в Мастерской Steam.,点击*浏览*按钮，浏览 Steam 创意工坊上的可用谜题。,*閲覧*ボタンを●クリックすると●Steamワークショップで●利用可能な●パズルを●閲覧することが●できます。,Haz clic en el botón *Explorar* para ver los rompecabezas disponibles en Steam Workshop.,*찾아보기* 버튼을 클릭하여 스팀 창작마당에서 퍼즐을 찾아봅니다.,Steam Atölyesi'ndeki bulmacalara göz atmak için *göz at* düğmesine tıklayın.,Натисніть *огляд* для перегляду доступних головоломок в Майстерні Steam.,Clique no botão *navegar* para ver quebra-cabeças disponíveis na Oficina do Steam.,Kliknutím na tlačítko *prohlížet* zpřístupníte další puzzle na Steam Workshopu.,"Naciśnij *przeglądaj*, aby przeglądać dostępne zagadki w Warsztacie Steam."
Click the *new* button to create a custom puzzle.,,"Klicke auf *Neu*, um ein individuelles Rätsel zu erstellen.",Cliquez sur le bouton *nouveau* pour créer une nouvelle énigme.,Нажмите кнопку *Создать* для создания собственной головоломки.,点击*新建*按钮，创建一个自定义谜题。,*新規*ボタンを●クリックすると●独自の●カスタムパズルを●作成することが●できます。,Haz clic en el botón *Nuevo* para crear un nuevo rompecabezas.,*새로 만들기* 버튼을 클릭하여 새 커스텀 퍼즐을 만듭니다.,Özel bir bulmaca oluşturmak için *yeni* düğmesine tıklayın.,Натисніть *створити* щоб створити нове власне завдання.,Clique no botão *novo* para criar um quebra-cabeças personalizado.,Kliknutím na tlačítko *nový* můžete vytvořit uživatelský puzzle.,"Naciśnij *utwórz*, aby stworzyć niestandardową zagadkę."
Click to Continue,,Zum Fortfahren klicken,Cliquer pour continuer,Щелкните для продолжения,点击继续,クリックして●続行する,Haz clic para continuar,클릭하여 계속,Devam etmek için tıklayın,Клацніть для продовження,Clique para Continuar,Pokračovat,"Kliknij, aby kontynuować"
Click to advance the story,,Zum Fortsetzen der Geschichte hier klicken,Cliquez pour continuer l'histoire,Щелкните для продвижения по сюжету,单击让故事继续,クリックして●ストーリーを●進める,Haz clic para avanzar la historia,클릭하여 이야기 진행,Hikayeyi ilerletmek için tıklayın,Клацніть для продовження,Clique para avançar a história,Pokračování příběhu,"Kliknij, aby przejść do dalszej fabuły"
Climbing Rope Fiber,,Kletterseilfaser,Fibre de corde d'escalade,Волокно для веревки,登山绳纤维,クライミング●ロープの●繊維,Fibra de Cuerda para Escalar,등반 로프용 섬유,Tırmanma Halatı Elyafı,Мотузка для лазіння,Fibra para Cordas de Escalada,Vlákno šplhacího lana,Włókno liny wspinaczkowej
"Closes all grippers on an arm, picking up any atoms underneath.",,"Schließt alle Greifer an einem Arm, sodass alle Atome darunter aufgenommen werden.","Resserre toutes les pinces sur le bras, attrapant les atomes en-dessous.","Закрывает все захваты манипулятора, собирая все оказавшиеся под ними атомы.",把机械臂上的所有夹钳拢合，并拾取下方的任何原子。,アーム上の●すべての●グリッパーを閉じ、下にある●原子を●拾い集めます。,Cierra todas las pinzas de un brazo y recoge los átomos que se encuentran debajo.,"팔의 모든 집게를 조이고, 밑의 모든 원자를 집어올립니다.",Bir koldaki tüm yakalayıcıları kapatır ve altındaki atomları alır.,"Змикає всі захвати маніпулятора, підбираючи усі розміщені під ними атоми.","Fecha todas as garras de um braço, apanhando o átomo abaixo.","Zavře všechny zachycovače na manipulátoru, sebere všechny atomy pod nimi.","Zamyka wszystkie chwytaki na ramieniu, podnosząc atomy pod spodem."
Cmd + A,,Cmd + A,Cmd + A,Cmd + A,Cmd + A,Cmd + A,Cmd + A,Cmd + A,Cmd + A,Cmd + A,Cmd + A,Cmd + A,Cmd + A
Cmd + Left Mouse + Drag,,Cmd + linke Maustaste + ziehen,Cmd + Clic gauche + déplacer,Cmd + левая кнопка мыши + перетаскивание,Cmd + 鼠标左键 + 拖动,Cmd + 左クリック + ドラッグ,Cmd + Botón Izquierdo del Ratón + Arrastrar,Cmd + 왼쪽 클릭 + 드래그,Cmd + Sol Fare + Sürükle,Cmd + ЛКМ + пересунути,Cmd + Mouse Esquerdo + Arrastar,Cmd + levá myš + táhnout,Cmd + Lewy przycisk myszy + Przeciągaj
Cmd + Shift + A,,Cmd + Shift + A,Cmd + Shift + A,Cmd + Shift + A,Cmd + Shift + A,Cmd + Shift + A,Cmd + Shift + A,Cmd + Shift + A,Cmd + Üst Karakter + A,Cmd + Shift + A,Cmd + Shift + A,Cmd + Shift + A,Cmd + Shift + A
Cmd + Y or Cmd + Shift + Z,,Cmd + Y oder Cmd + Umschalttaste + Z,Cmd + Y ou Cmd + Shift + Z,Cmd + Y или Cmd + Shift + Z,Cmd + Y 或 Cmd + Shift + Z,Cmd + Y または Cmd + Shift + Z,Cmd + Y ó Cmd + Shift + Z,Cmd + Y 나 Cmd + Shift + Z,Cmd + Y veya Cmd + Üst Karakter + Z,Cmd + Y або Cmd + Shift + Z,Cmd + Y or Cmd + Shift + Z,Cmd + Y nebo Cmd + Shift + Z,Cmd + Y lub Cmd + Shift + Z
Cmd + Z,,Cmd + Z,Cmd + Z,Cmd + Z,Cmd + Z,Cmd + Z,Cmd + Z,Cmd + Z,Cmd + Z,Cmd + Z,Cmd + Z,Cmd + Z,Cmd + Z
Common Alchemical Primes & Their Transmutations,,Alchemistische Grundstoffe & ihre Transmutationen,Bases principales de l'alchimie et ses transmutations,Основные первоэлементы и их трансмутации,通用炼金术精华及其嬗变,一般的な●錬金術の●素数●および●その●変成,Alquímicos Primos Comunes y Sus Transmutaciones,주요 연금 원소들 & 변성들,Ortak Simya Asalları ve Dönüşümleri,Алхімічні першоелементи та їхні трансмутації,Princípios Alquímicos Comuns & Suas Transmutações,Běžné prvotní materiály a jejich transmutace,Powrzechne pierwiastki alchemiczne i ich transmutacje
Complete the game to unlock,,Spiel abschließen zum Freischalten,Terminez le jeu pour débloquer,Вначале пройдите игру,完成游戏来解锁,ゲームを●クリアして●アンロック,Completa el juego para desbloquear,게임 완료 후 잠금 해제,Kilidi açmak için oyunu tamamla,"Пройдіть гру, щоб відкрити",Complete o jogo para desbloquear,Dokončete hru k odemčení,"Ukończ grę, aby odblokować"
Complete the prologue,,Schließe den Prolog ab,Terminer le prologue,Закончить пролог,完成序章,プロローグを●完成,Completa el prólogo,서장을 완료하여,Girişi tamamla,Завершіть пролог,Complete o prólogo,Dokončit prolog,Ukończ prolog
Concealed Letter,,Verborgener Brief,Lettre secrète,Тайное письмо,隐匿信件,隠された手紙,Carta Encubierta,숨겨진 편지,Gizli Mektup,Таємний лист,Carta Escondida,Tajný dopis,Tajemniczy list
Concordia Lem,,Concordia Lem,Concordia Lem,Конкордия Лем,肯考迪亚·莱姆,コンコーディア・レム,Concordia Lem,콩코디아 렘,Concordia Lem,Конкордія Лем,Concordia Lem,Concordia Lem,Konkordia Lem
Conduit,,Leitung,Conduit,Труба,导管,導管,Conducto,통로,Kanal,Шпарина,Canal,Potrubí,Przewodnik
Conduits cannot be moved to different chambers.,,Leitungen können nicht in andere Kammern bewegt werden.,Les conduits ne peuvent pas être déplacés dans d'autres chambres.,Трубы нельзя перемещать в другие камеры.,导管不能移到到其他房间。,導管は●別の●チェンバーに●移動させられ●ません。,Los conductos no pueden ser movidos a diferentes cámaras.,통로는 다른 격실로 이동할 수 없습니다.,Kanallar farklı odalara taşınamaz.,Шпарини не можна переміщувати у іншу камеру.,Canais não podem ser movidos para câmaras diferentes.,Potrubí nelze přesunout do jiné komory.,Przewodniki nie mogą być przemieszczane między komorami.
Continue,,Fortfahren,Continuer,Продолжить,继续,続行,Continuar,계속,Devam et,Продовжити,Continuar,Pokračovat,Kontynuuj
Continue Editing,,Weiter bearbeiten,Continuer à modifier,Продолжить ред.,继续编辑,編集を●続行する,Continuar Editando,계속 수정하기,Düzenlemeye Devam Et,Редагувати далі,Continuar Edição,Pokračovat v editaci,Kontynuuj edycję
Controls,,Steuerung,Commandes,Управление,控制,コントロール,Controles,조작법,Kontroller,Клавіші,Controles,Ovládání,Sterowanie
